Date,Address,City,State,FirstDraw,ThreeMin,FiveMin,Latitude,Longitude,Accuracy_S,Accuracy_T
11/8/2016,00 N. Lasalle St.,Chicago,Il,1,1,1,41.90771000000,-87.63296900000,0.60000000000,street_center
6/5/2016,100 E. Bellevue Pl.,Chicago,Il,1,1,1,41.90189800000,-87.62565800000,1.00000000000,rooftop
8/22/2018,100 E. 14th St.,Chicago,Il,1,1,1,41.86448800000,-87.62368700000,1.00000000000,rooftop
8/18/2018,100 E. 14th St.,Chicago,Il,1,1,1,41.86448800000,-87.62368700000,1.00000000000,rooftop
7/31/2018,100 N. La Salle St.,Chicago,Il,1,1,1,41.88345800000,-87.63277500000,1.00000000000,rooftop
7/12/2018,1000 N. Western Ave.,Chicago,Il,3,3,2,41.89950500000,-87.68732700000,1.00000000000,rooftop
2/4/2017,1000 W. Washington Blvd.,Chicago,Il,1,1,1,41.88381200000,-87.65267900000,1.00000000000,rooftop
1/25/2017,1000 W. Washington Blvd.,Chicago,Il,1,1,1,41.88381200000,-87.65267900000,1.00000000000,rooftop
12/14/2018,10000 S. Perry Ave.,Chicago,Il,1,2,1,41.71247000000,-87.62639100000,1.00000000000,rooftop
12/20/2018,10000 S. Prospect Ave.,Chicago,Il,1,1,1,41.71200100000,-87.66309900000,1.00000000000,rooftop
6/18/2018,10000 S. Exchange Ave.,Chicago,Il,5,3,3,41.71323000000,-87.55232800000,0.90000000000,range_interpolation
3/30/2018,10000 S. Morgan St.,Chicago,Il,2,6,1,41.71217200000,-87.64820900000,1.00000000000,rooftop
2/13/2019,10000 S Fairfield Ave,Chicago,Il,4,8,1,41.71162300000,-87.69078000000,1.00000000000,rooftop
7/6/2016,10000 S. Oakley Ave.,Chicago,Il,3,1,1,41.71168800000,-87.67972000000,1.00000000000,rooftop
3/23/2016,1000 N. Cleveland Ave.,Chicago,Il,1,1,1,41.90132600000,-87.64113700000,1.00000000000,range_interpolation
10/3/2017,1000 S. Plymouth Ct.,Chicago,Il,1,1,1,41.86980300000,-87.62956700000,1.00000000000,rooftop
6/6/2016,10000 S. Calhoun Ave.,Chicago,Il,4,5,10,41.71336900000,-87.56251700000,1.00000000000,rooftop
2/16/2019,10000 S Hamilton Ave,Chicago,Il,1,2,1,41.71178000000,-87.67573600000,1.00000000000,range_interpolation
2/23/2019,10000 S Artesian Ave,Chicago,Il,9,4,2,41.71173500000,-87.68342200000,1.00000000000,rooftop
12/7/2018,10000 S. Dr Martin Luther King Jr Dr.,Chicago,Il,2,4,1,41.71235000000,-87.61429500000,0.80000000000,nearest_rooftop_match
7/20/2017,1000 W. 18th St.,Chicago,Il,110,3,1,41.85535300000,-87.84498100000,0.90000000000,rooftop
7/8/2016,10000 S. Damen Ave.,Chicago,Il,2,5,2,41.71178000000,-87.67247800000,1.00000000000,rooftop
2/25/2019,10000 S. Hoyne Ave.,Chicago,Il,2,5,1,41.71175200000,-87.67489600000,1.00000000000,rooftop
2/5/2017,1000 E. 53rd St.,Chicago,Il,1,1,1,41.79990600000,-87.60184100000,1.00000000000,rooftop
10/27/2018,1000 W. Buena Ave.,Chicago,Il,1,1,1,41.95827800000,-87.65465600000,1.00000000000,range_interpolation
11/11/2018,10000 S Longwood Dr.,Chicago,Il,6,14,9,41.71189100000,-87.66889700000,1.00000000000,range_interpolation
3/11/2019,10000 S Fairfield Ave,Chicago,Il,2,6,1,41.71162300000,-87.69078000000,1.00000000000,rooftop
2/17/2019,10000 S California Ave,Chicago,Il,4,8,2,41.71159800000,-87.69167300000,1.00000000000,range_interpolation
6/23/2016,10000 S Washtenaw Ave,Chicago,Il,4,5,11,41.71163700000,-87.68955300000,1.00000000000,rooftop
3/10/2019,10000 S. Campbell Ave.,Chicago,Il,1,1,1,41.71172600000,-87.68464000000,1.00000000000,rooftop
10/19/2016,10000 S. Fairfield Ave.,Chicago,Il,2,2,2,41.71162300000,-87.69078000000,1.00000000000,rooftop
3/6/2019,10000 S Bell Ave,Chicago,Il,1,2,1,41.71172300000,-87.67852600000,1.00000000000,rooftop
4/23/2018,10000 S. Bell Ave.,Chicago,Il,2,3,2,41.71172300000,-87.67852600000,1.00000000000,rooftop
7/3/2016,10000 S. Oakley Ave.,Chicago,Il,2,2,2,41.71168800000,-87.67972000000,1.00000000000,rooftop
10/25/2018,10000 S. Hoyne Ave.,Chicago,Il,1,2,1,41.71175200000,-87.67489600000,1.00000000000,rooftop
7/30/2016,10000 S. Damen Ave.,Chicago,Il,2,2,1,41.71178000000,-87.67247800000,1.00000000000,rooftop
11/4/2018,10000 S. Oakley Ave.,Chicago,Il,6,2,1,41.71168800000,-87.67972000000,1.00000000000,rooftop
