FIPS,County,Poulation
17001,Adams ,66234
17003,Alexander ,6315
17005,Bond ,16948
17007,Boone ,53513
17009,Brown ,6716
17011,Bureau ,33243
17013,Calhoun ,4833
17015,Carroll ,14518
17017,Cass ,12505
17019,Champaign ,209399
17021,Christian ,33102
17023,Clark ,15767
17025,Clay ,13269
17027,Clinton ,37614
17029,Coles ,51979
17031,Cook ,5211263
17033,Crawford ,18961
17035,Cumberland ,10908
17039,De Witt ,15942
17037,DeKalb ,104733
17041,Douglas ,19748
17043,DuPage ,930128
17045,Edgar ,17328
17047,Edwards ,6486
17049,Effingham ,34132
17051,Fayette ,21784
17053,Ford ,13280
17055,Franklin ,39041
17057,Fulton ,35110
17059,Gallatin ,5080
17061,Greene ,13174
17063,Grundy ,50586
17065,Hamilton ,8194
17067,Hancock ,18020
17069,Hardin ,4046
17071,Henderson ,6795
17073,Henry ,49328
17075,Iroquois ,27876
17077,Jackson ,58284
17079,Jasper ,9578
17081,Jefferson ,38179
17083,Jersey ,21941
17085,Jo Daviess ,21594
17087,Johnson ,12900
17089,Kane ,534667
17091,Kankakee ,109605
17093,Kendall ,126218
17095,Knox ,50638
17097,Lake ,703520
17099,LaSalle ,110067
17101,Lawrence ,16168
17103,Lee ,34406
17105,Livingston ,36518
17107,Logan ,29245
17115,Macon ,105801
17117,Macoupin ,45446
17119,Madison ,265428
17121,Marion ,37902
17123,Marshall ,11730
17125,Mason ,13715
17127,Massac ,14344
17109,McDonough ,30823
17111,McHenry ,309122
17113,McLean ,172290
17129,Menard ,12245
17131,Mercer ,15618
17133,Monroe ,34097
17135,Montgomery ,28790
17137,Morgan ,33798
17139,Moultrie ,14688
17141,Ogle ,51063
17143,Peoria ,183011
17145,Perry ,21285
17147,Piatt ,16445
17149,Pike ,15821
17151,Pope ,4325
17153,Pulaski ,5509
17155,Putnam ,5727
17157,Randolph ,32423
17159,Richland ,15901
17161,Rock Island ,144808
17165,Saline ,24102
17167,Sangamon ,196452
17169,Schuyler ,7035
17171,Scott ,5002
17173,Shelby ,21719
17163,St. Clair ,262479
17175,Stark ,5434
17177,Stephenson ,45054
17179,Tazewell ,133526
17181,Union ,17000
17183,Vermilion ,77909
17185,Wabash ,11489
17187,Warren ,17167
17189,Washington ,14030
17191,Wayne ,16495
17193,White ,13938
17195,Whiteside ,56118
17197,Will ,692661
17199,Williamson ,67328
17201,Winnebago ,284778
17203,Woodford ,38726
